"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","20099","Failed login with invalid username","webkit","Mon Sep 08 16:53:07 IST 2025","passed","Mon Sep 08 16:53:27 IST 2025","OrangeHRM Login Tests","specs\login.test.js","",""
"","10893","Failed login with empty password","webkit","Mon Sep 08 16:53:29 IST 2025","passed","Mon Sep 08 16:53:40 IST 2025","OrangeHRM Login Tests","specs\login.test.js","",""
"","13696","Failed login with empty password","firefox","Mon Sep 08 16:52:36 IST 2025","passed","Mon Sep 08 16:52:49 IST 2025","OrangeHRM Login Tests","specs\login.test.js","",""
"","19219","Successful login with valid credentials","firefox","Mon Sep 08 16:52:11 IST 2025","passed","Mon Sep 08 16:52:31 IST 2025","OrangeHRM Login Tests","specs\login.test.js","",""
"","9040","Input field placeholders","firefox","Mon Sep 08 16:52:42 IST 2025","passed","Mon Sep 08 16:52:51 IST 2025","OrangeHRM Login Tests","specs\login.test.js","",""
"","8387","Login page elements visibility","firefox","Mon Sep 08 16:52:41 IST 2025","passed","Mon Sep 08 16:52:49 IST 2025","OrangeHRM Login Tests","specs\login.test.js","",""
"","14309","Failed login with empty username","webkit","Mon Sep 08 16:53:14 IST 2025","passed","Mon Sep 08 16:53:28 IST 2025","OrangeHRM Login Tests","specs\login.test.js","",""
"","21935","Failed login with invalid username","firefox","Mon Sep 08 16:52:11 IST 2025","passed","Mon Sep 08 16:52:33 IST 2025","OrangeHRM Login Tests","specs\login.test.js","",""
"","22618","Failed login with invalid password","firefox","Mon Sep 08 16:52:12 IST 2025","passed","Mon Sep 08 16:52:34 IST 2025","OrangeHRM Login Tests","specs\login.test.js","",""
"","18108","Failed login with invalid password","webkit","Mon Sep 08 16:53:12 IST 2025","passed","Mon Sep 08 16:53:31 IST 2025","OrangeHRM Login Tests","specs\login.test.js","",""
"","10399","Clear input fields","firefox","Mon Sep 08 16:52:49 IST 2025","passed","Mon Sep 08 16:53:00 IST 2025","OrangeHRM Login Tests","specs\login.test.js","",""
"","14706","Forgot password link functionality","firefox","Mon Sep 08 16:52:45 IST 2025","passed","Mon Sep 08 16:52:59 IST 2025","OrangeHRM Login Tests","specs\login.test.js","",""
"","6921","Clear input fields","chromium","Mon Sep 08 16:52:07 IST 2025","passed","Mon Sep 08 16:52:14 IST 2025","OrangeHRM Login Tests","specs\login.test.js","",""
"","8853","Login page elements visibility","webkit","Mon Sep 08 16:53:30 IST 2025","passed","Mon Sep 08 16:53:39 IST 2025","OrangeHRM Login Tests","specs\login.test.js","",""
"","7681","Clear input fields","webkit","Mon Sep 08 16:53:39 IST 2025","passed","Mon Sep 08 16:53:46 IST 2025","OrangeHRM Login Tests","specs\login.test.js","",""
"","6007","Failed login with empty password","chromium","Mon Sep 08 16:52:01 IST 2025","passed","Mon Sep 08 16:52:07 IST 2025","OrangeHRM Login Tests","specs\login.test.js","",""
"","9425","Failed login with invalid password","chromium","Mon Sep 08 16:51:51 IST 2025","passed","Mon Sep 08 16:52:01 IST 2025","OrangeHRM Login Tests","specs\login.test.js","",""
"","19340","Failed login with empty username","firefox","Mon Sep 08 16:52:19 IST 2025","passed","Mon Sep 08 16:52:38 IST 2025","OrangeHRM Login Tests","specs\login.test.js","",""
"","7599","Login page elements visibility","chromium","Mon Sep 08 16:52:02 IST 2025","passed","Mon Sep 08 16:52:09 IST 2025","OrangeHRM Login Tests","specs\login.test.js","",""
"","9187","Input field placeholders","webkit","Mon Sep 08 16:53:31 IST 2025","passed","Mon Sep 08 16:53:40 IST 2025","OrangeHRM Login Tests","specs\login.test.js","",""
"","9955","Forgot password link functionality","webkit","Mon Sep 08 16:53:32 IST 2025","passed","Mon Sep 08 16:53:42 IST 2025","OrangeHRM Login Tests","specs\login.test.js","",""
"","7289","Input field placeholders","chromium","Mon Sep 08 16:52:02 IST 2025","passed","Mon Sep 08 16:52:09 IST 2025","OrangeHRM Login Tests","specs\login.test.js","",""
"","7399","Forgot password link functionality","chromium","Mon Sep 08 16:52:02 IST 2025","passed","Mon Sep 08 16:52:10 IST 2025","OrangeHRM Login Tests","specs\login.test.js","",""
"","9134","Failed login with empty username","chromium","Mon Sep 08 16:51:51 IST 2025","passed","Mon Sep 08 16:52:00 IST 2025","OrangeHRM Login Tests","specs\login.test.js","",""
"","9268","Successful login with valid credentials","chromium","Mon Sep 08 16:51:51 IST 2025","passed","Mon Sep 08 16:52:01 IST 2025","OrangeHRM Login Tests","specs\login.test.js","",""
"","19243","Successful login with valid credentials","webkit","Mon Sep 08 16:53:04 IST 2025","passed","Mon Sep 08 16:53:23 IST 2025","OrangeHRM Login Tests","specs\login.test.js","",""
"","10470","Failed login with invalid username","chromium","Mon Sep 08 16:51:51 IST 2025","passed","Mon Sep 08 16:52:02 IST 2025","OrangeHRM Login Tests","specs\login.test.js","",""
